"Date","Price","Open","High","Low","Vol.","Change %"
"19-06-2023","49,330.00","49,100.00","49,500.00","49,100.00","0.21K","2.39%"
"16-06-2023","48,180.00","48,180.00","48,180.00","48,180.00","","0.38%"
"15-06-2023","48,000.00","48,000.00","48,000.00","48,000.00","","-0.37%"
"14-06-2023","48,180.00","48,100.00","48,200.00","48,100.00","0.19K","0.56%"
"13-06-2023","47,910.00","47,620.00","48,100.00","47,620.00","0.72K","0.95%"
"12-06-2023","47,460.00","47,080.00","47,550.00","47,080.00","0.47K","1.22%"
"09-06-2023","46,890.00","46,730.00","47,030.00","46,730.00","0.80K","0.71%"
"08-06-2023","46,560.00","46,950.00","47,080.00","46,490.00","0.99K","-0.53%"
"07-06-2023","46,810.00","46,500.00","46,810.00","46,480.00","0.71K","0.71%"
"06-06-2023","46,480.00","46,000.00","46,550.00","45,860.00","0.67K","0.78%"
"05-06-2023","46,120.00","46,210.00","46,400.00","46,100.00","0.76K","-0.17%"
"02-06-2023","46,200.00","46,180.00","46,380.00","45,980.00","0.65K","-0.17%"
"01-06-2023","46,280.00","46,180.00","46,500.00","46,180.00","0.67K","0.22%"
"31-05-2023","46,180.00","46,150.00","46,330.00","46,000.00","1.15K","0.28%"
"30-05-2023","46,050.00","44,770.00","46,200.00","44,770.00","1.27K","0.63%"
"29-05-2023","45,760.00","45,930.00","45,930.00","45,620.00","0.61K","-0.33%"
"26-05-2023","45,910.00","45,990.00","48,250.00","43,320.00","1.02K","-0.15%"
"25-05-2023","45,980.00","46,350.00","46,350.00","45,870.00","1.51K","-0.22%"
"24-05-2023","46,080.00","45,670.00","46,200.00","45,670.00","0.66K","0.63%"
"23-05-2023","45,790.00","45,900.00","46,050.00","45,610.00","1.38K","-0.35%"
"22-05-2023","45,950.00","46,400.00","46,400.00","45,820.00","1.21K","-4.67%"
"19-05-2023","48,200.00","46,280.00","46,280.00","46,280.00","","0.19%"
"18-05-2023","48,110.00","48,110.00","48,110.00","48,110.00","","-0.85%"
"17-05-2023","48,520.00","48,520.00","48,520.00","48,520.00","","1.02%"
"16-05-2023","48,030.00","48,030.00","48,030.00","48,030.00","","5.26%"
"15-05-2023","45,630.00","45,650.00","45,750.00","45,490.00","0.22K","-0.63%"
"12-05-2023","45,920.00","45,470.00","46,080.00","45,470.00","0.91K","0.77%"
"11-05-2023","45,570.00","45,230.00","45,750.00","44,800.00","0.98K","0.66%"
"10-05-2023","45,270.00","44,840.00","45,270.00","44,810.00","0.93K","0.62%"
"09-05-2023","44,990.00","45,030.00","45,230.00","44,910.00","1.10K","0.29%"
"08-05-2023","44,860.00","44,430.00","44,920.00","44,220.00","1.07K","0.85%"
"05-05-2023","44,480.00","45,300.00","45,350.00","44,400.00","0.85K","-2.03%"
"04-05-2023","45,400.00","46,190.00","46,190.00","45,200.00","0.57K","-1.86%"
"03-05-2023","46,260.00","46,550.00","46,600.00","45,720.00","0.94K","-0.62%"
"02-05-2023","46,550.00","46,810.00","46,810.00","46,520.00","0.75K","-1.08%"
"28-04-2023","47,060.00","47,210.00","47,360.00","47,000.00","0.65K","-0.19%"
"27-04-2023","47,150.00","47,440.00","47,570.00","47,040.00","1.07K","-0.80%"
"26-04-2023","47,530.00","47,510.00","47,690.00","47,490.00","0.63K","-0.11%"
"25-04-2023","47,580.00","47,390.00","47,780.00","47,390.00","0.82K","0.27%"
"24-04-2023","47,450.00","48,160.00","48,240.00","47,410.00","1.24K","-1.45%"
"21-04-2023","48,150.00","48,150.00","48,260.00","48,000.00","0.46K","-1.13%"
"20-04-2023","48,700.00","48,210.00","48,210.00","48,210.00","","0.39%"
"19-04-2023","48,510.00","48,510.00","48,510.00","48,510.00","","-1.04%"
"18-04-2023","49,020.00","49,020.00","49,020.00","49,020.00","","-0.02%"
"17-04-2023","49,030.00","49,030.00","49,030.00","49,030.00","","3.48%"
"13-04-2023","47,380.00","47,230.00","47,700.00","47,120.00","0.43K","0.21%"
"12-04-2023","47,280.00","47,280.00","47,500.00","47,150.00","0.38K","-0.13%"
"11-04-2023","47,340.00","47,450.00","47,550.00","47,280.00","0.59K","-0.57%"
"10-04-2023","47,610.00","48,480.00","48,490.00","47,460.00","1.12K","-2.12%"
"06-04-2023","48,640.00","48,700.00","48,770.00","48,610.00","0.36K","-0.33%"
"05-04-2023","48,800.00","48,800.00","49,000.00","48,760.00","0.84K","0.14%"
"03-04-2023","48,730.00","48,990.00","49,020.00","48,650.00","0.59K","-0.43%"
"31-03-2023","48,940.00","48,590.00","48,950.00","48,580.00","1.93K","0.89%"
"29-03-2023","48,510.00","48,550.00","48,820.00","48,440.00","1.51K","0.06%"
"28-03-2023","48,480.00","48,420.00","48,500.00","48,190.00","0.78K","-0.12%"
"27-03-2023","48,540.00","48,370.00","49,430.00","48,350.00","0.65K","0.48%"
"24-03-2023","48,310.00","48,480.00","48,620.00","48,300.00","1.31K","-0.17%"
"23-03-2023","48,390.00","48,240.00","48,420.00","48,100.00","1.18K","0.27%"
"22-03-2023","48,260.00","48,500.00","48,680.00","48,210.00","1.14K","-0.47%"
"21-03-2023","48,490.00","48,340.00","48,500.00","48,100.00","1.60K","-1.86%"
"20-03-2023","49,410.00","49,500.00","49,500.00","49,400.00","0.51K","-1.67%"
"17-03-2023","50,250.00","50,250.00","50,250.00","50,250.00","0.20K","2.89%"
"16-03-2023","48,840.00","48,840.00","48,840.00","48,840.00","","-2.88%"
"15-03-2023","50,290.00","50,400.00","50,400.00","50,010.00","0.12K","-0.02%"
"14-03-2023","50,300.00","50,390.00","50,490.00","50,110.00","0.27K","0.40%"
"13-03-2023","50,100.00","49,520.00","50,490.00","49,420.00","0.44K","0.97%"
"10-03-2023","49,620.00","49,720.00","49,770.00","49,420.00","1.22K","-0.26%"
"09-03-2023","49,750.00","50,010.00","50,010.00","49,610.00","0.83K","-0.36%"
"08-03-2023","49,930.00","49,700.00","50,060.00","49,700.00","0.48K","0.42%"
"06-03-2023","49,720.00","49,510.00","49,880.00","49,500.00","1.37K","0.81%"
"03-03-2023","49,320.00","49,240.00","49,350.00","49,150.00","1.02K","0.16%"
"02-03-2023","49,240.00","49,380.00","49,460.00","49,220.00","0.69K","-0.14%"
"01-03-2023","49,310.00","49,150.00","49,500.00","49,130.00","0.77K","0.26%"
"28-02-2023","49,180.00","48,900.00","49,260.00","48,850.00","1.53K","0.74%"
"27-02-2023","48,820.00","48,600.00","48,920.00","48,600.00","0.95K","0.31%"
"24-02-2023","48,670.00","49,270.00","49,270.00","48,570.00","1.70K","-1.16%"
"23-02-2023","49,240.00","49,550.00","49,600.00","49,150.00","1.49K","-0.53%"
"22-02-2023","49,500.00","49,350.00","49,590.00","49,150.00","2.79K","0.16%"
"21-02-2023","49,420.00","49,250.00","49,750.00","49,250.00","1.84K","0.86%"
"20-02-2023","49,000.00","49,290.00","49,290.00","49,290.00","","-0.06%"
"17-02-2023","49,030.00","49,030.00","49,030.00","49,030.00","","1.93%"
"15-02-2023","48,100.00","48,100.00","48,100.00","48,100.00","","2.34%"
"14-02-2023","47,000.00","47,350.00","47,700.00","44,520.00","0.56K","-0.49%"
"13-02-2023","47,230.00","46,980.00","47,390.00","46,650.00","1.64K","0.47%"
"10-02-2023","47,010.00","47,650.00","47,650.00","46,800.00","0.77K","-1.30%"
"09-02-2023","47,630.00","48,130.00","48,290.00","46,740.00","1.09K","-1.12%"
"08-02-2023","48,170.00","48,240.00","48,280.00","47,990.00","1.37K","-0.29%"
"07-02-2023","48,310.00","48,510.00","48,530.00","48,130.00","1.79K","-0.51%"
"06-02-2023","48,560.00","48,630.00","48,640.00","48,360.00","1.48K","0.12%"
"03-02-2023","48,500.00","48,510.00","48,660.00","48,250.00","1.88K","0.14%"
"02-02-2023","48,430.00","48,610.00","48,790.00","48,250.00","0.81K","-0.64%"
"01-02-2023","48,740.00","49,230.00","49,440.00","48,620.00","1.54K","-0.93%"
"31-01-2023","49,200.00","49,810.00","49,810.00","49,060.00","1.41K","-1.22%"
"30-01-2023","49,810.00","50,170.00","50,280.00","49,790.00","0.82K","-0.64%"
"27-01-2023","50,130.00","50,490.00","50,490.00","50,060.00","0.64K","0.08%"
"25-01-2023","50,090.00","50,180.00","50,270.00","50,040.00","1.03K","-0.06%"
"24-01-2023","50,120.00","50,340.00","50,410.00","50,000.00","2.01K","-0.42%"
"23-01-2023","50,330.00","50,330.00","50,570.00","50,180.00","2.19K","-0.34%"
"20-01-2023","50,500.00","50,500.00","50,500.00","50,500.00","0.01K","0.00%"
"19-01-2023","50,500.00","50,500.00","50,500.00","50,500.00","0.01K","1.36%"
"18-01-2023","49,820.00","49,820.00","49,820.00","49,820.00","","-0.86%"
"17-01-2023","50,250.00","50,000.00","50,500.00","50,000.00","0.02K","0.32%"
"16-01-2023","50,090.00","49,700.00","51,000.00","49,700.00","0.05K","0.99%"
"13-01-2023","49,600.00","49,180.00","49,750.00","49,180.00","0.75K","1.27%"
"12-01-2023","48,980.00","49,060.00","49,190.00","48,850.00","0.79K","0.37%"
"11-01-2023","48,800.00","48,090.00","48,850.00","48,090.00","1.31K","1.75%"
"10-01-2023","47,960.00","48,320.00","48,630.00","47,880.00","0.74K","-0.75%"
"09-01-2023","48,320.00","48,800.00","48,870.00","47,850.00","1.16K","-1.04%"
"06-01-2023","48,830.00","48,800.00","48,900.00","48,510.00","1.02K","-0.33%"
"05-01-2023","48,990.00","48,830.00","49,070.00","48,600.00","1.01K","0.33%"
"04-01-2023","48,830.00","48,800.00","48,900.00","48,340.00","1.41K","-0.22%"
"03-01-2023","48,940.00","49,340.00","49,350.00","48,710.00","0.94K","-0.75%"
"02-01-2023","49,310.00","48,800.00","49,390.00","48,760.00","1.28K","1.40%"
"30-12-2022","48,630.00","48,100.00","48,670.00","48,100.00","2.41K","1.21%"
"29-12-2022","48,050.00","48,340.00","48,340.00","47,880.00","1.46K","-0.56%"
"28-12-2022","48,320.00","48,010.00","48,600.00","47,960.00","1.90K","0.81%"
"27-12-2022","47,930.00","47,750.00","48,200.00","47,750.00","3.24K","0.40%"
"26-12-2022","47,740.00","47,110.00","47,900.00","47,110.00","2.29K","1.66%"
"23-12-2022","46,960.00","46,370.00","47,000.00","46,140.00","3.06K","1.32%"
"22-12-2022","46,350.00","46,380.00","46,500.00","46,100.00","0.84K","0.30%"
"21-12-2022","46,210.00","46,470.00","46,470.00","46,070.00","2.35K","0.46%"
"20-12-2022","46,000.00","46,000.00","46,000.00","46,000.00","0.01K","0.00%"
"19-12-2022","46,000.00","46,000.00","46,000.00","46,000.00","0.04K","-2.21%"
"16-12-2022","47,040.00","47,040.00","47,040.00","47,040.00","","3.50%"
"15-12-2022","45,450.00","45,450.00","45,450.00","45,450.00","0.01K","-0.26%"
"14-12-2022","45,570.00","45,800.00","46,450.00","44,010.00","0.50K","-1.17%"
"13-12-2022","46,110.00","46,410.00","46,410.00","45,980.00","0.44K","-0.80%"
"12-12-2022","46,480.00","46,990.00","47,020.00","46,420.00","3.55K","-1.25%"
"09-12-2022","47,070.00","46,840.00","47,540.00","46,800.00","2.66K","0.79%"
"08-12-2022","46,700.00","46,190.00","47,250.00","46,150.00","3.57K","1.41%"
"07-12-2022","46,050.00","45,700.00","46,130.00","45,700.00","1.27K","0.94%"
"06-12-2022","45,620.00","45,900.00","45,900.00","45,440.00","1.86K","-0.35%"
"05-12-2022","45,780.00","45,300.00","45,870.00","45,270.00","1.96K","1.53%"
"02-12-2022","45,090.00","45,450.00","45,730.00","44,900.00","1.64K","-0.57%"
"01-12-2022","45,350.00","45,520.00","46,590.00","44,580.00","2.34K","0.60%"
"30-11-2022","45,080.00","45,000.00","45,150.00","44,450.00","1.71K","1.99%"
"29-11-2022","44,200.00","43,310.00","44,260.00","43,310.00","2.46K","1.84%"
"28-11-2022","43,400.00","43,530.00","43,700.00","43,260.00","2.28K","-0.05%"
"25-11-2022","43,420.00","42,880.00","43,470.00","42,700.00","3.19K","1.02%"
"24-11-2022","42,980.00","43,200.00","43,600.00","42,880.00","3.95K","-0.76%"
"23-11-2022","43,310.00","43,830.00","43,830.00","43,260.00","1.89K","-1.30%"
"22-11-2022","43,880.00","44,330.00","44,410.00","43,850.00","1.97K","-0.90%"
"21-11-2022","44,280.00","45,250.00","45,250.00","44,000.00","3.49K","3.46%"
"18-11-2022","42,800.00","42,800.00","42,800.00","42,640.00","1.75K","-1.29%"
"17-11-2022","43,360.00","43,360.00","43,360.00","43,360.00","","-2.28%"
"16-11-2022","44,370.00","44,370.00","44,370.00","44,370.00","","-3.25%"
"15-11-2022","45,860.00","45,990.00","45,990.00","45,770.00","0.14K","3.57%"
"14-11-2022","44,280.00","44,120.00","44,470.00","44,110.00","0.24K","-2.75%"
"11-11-2022","45,530.00","45,280.00","45,990.00","44,910.00","0.63K","0.33%"
"10-11-2022","45,380.00","46,300.00","46,300.00","44,870.00","0.60K","-2.22%"
"09-11-2022","46,410.00","46,470.00","46,770.00","46,350.00","0.97K","0.13%"
"07-11-2022","46,350.00","46,420.00","46,610.00","44,650.00","0.66K","-1.45%"
"04-11-2022","47,030.00","47,070.00","47,200.00","46,640.00","1.42K","-0.42%"
"03-11-2022","47,230.00","47,410.00","47,650.00","47,140.00","0.61K","-0.44%"
"02-11-2022","47,440.00","47,720.00","47,740.00","47,300.00","1.27K","-0.55%"
"01-11-2022","47,700.00","47,960.00","48,070.00","47,650.00","0.63K","-0.44%"
"31-10-2022","47,910.00","47,900.00","48,040.00","47,680.00","0.74K","-0.27%"
"28-10-2022","48,040.00","48,120.00","48,160.00","47,890.00","0.56K","-0.44%"
"27-10-2022","48,250.00","48,590.00","48,770.00","48,150.00","1.42K","-1.01%"
"25-10-2022","48,740.00","48,970.00","48,970.00","48,650.00","0.38K","-0.75%"
"24-10-2022","49,110.00","49,120.00","49,120.00","49,090.00","0.02K","0.14%"
"21-10-2022","49,040.00","48,650.00","49,120.00","48,600.00","1.39K","-0.33%"
"20-10-2022","49,200.00","48,610.00","48,610.00","48,610.00","","-0.63%"
"19-10-2022","49,510.00","49,510.00","49,510.00","49,510.00","","0.20%"
"18-10-2022","49,410.00","49,410.00","49,410.00","49,410.00","0.02K","2.07%"
"17-10-2022","48,410.00","48,400.00","48,410.00","48,400.00","0.02K","-2.10%"
"14-10-2022","49,450.00","49,840.00","49,840.00","48,110.00","0.43K","-0.90%"
"13-10-2022","49,900.00","50,150.00","50,150.00","49,700.00","0.23K","-0.85%"
"12-10-2022","50,330.00","49,700.00","50,650.00","49,700.00","2.08K","1.59%"
"11-10-2022","49,540.00","49,890.00","49,890.00","49,340.00","0.93K","-0.80%"
"10-10-2022","49,940.00","49,900.00","49,980.00","49,890.00","0.35K","0.06%"
"07-10-2022","49,910.00","49,900.00","49,950.00","49,740.00","0.91K","-0.12%"
"06-10-2022","49,970.00","49,650.00","50,020.00","49,650.00","0.74K","0.83%"
"04-10-2022","49,560.00","49,200.00","49,570.00","49,200.00","0.89K","0.67%"
"03-10-2022","49,230.00","49,700.00","49,700.00","49,140.00","1.01K","-1.01%"
"30-09-2022","49,730.00","49,610.00","49,770.00","49,580.00","0.52K","0.12%"
"29-09-2022","49,670.00","49,310.00","49,690.00","49,200.00","0.78K","0.59%"
"28-09-2022","49,380.00","49,620.00","49,620.00","49,250.00","1.31K","-0.52%"
"27-09-2022","49,640.00","49,360.00","49,670.00","49,360.00","1.53K","0.55%"
"26-09-2022","49,370.00","48,850.00","49,440.00","48,800.00","0.80K","1.56%"
"23-09-2022","48,610.00","48,750.00","48,750.00","48,350.00","0.75K","0.00%"
"22-09-2022","48,610.00","48,390.00","48,660.00","48,200.00","0.93K","0.23%"
"21-09-2022","48,500.00","48,470.00","48,810.00","48,460.00","0.78K","-3.00%"
"20-09-2022","50,000.00","48,490.00","48,490.00","48,490.00","","-2.82%"
"19-09-2022","51,450.00","51,400.00","51,550.00","51,400.00","0.15K","1.00%"
"16-09-2022","50,940.00","50,940.00","50,940.00","50,940.00","","-1.09%"
"15-09-2022","51,500.00","51,500.00","51,500.00","51,500.00","0.04K","0.59%"
"14-09-2022","51,200.00","51,200.00","51,200.00","51,200.00","0.02K","0.75%"
"13-09-2022","50,820.00","50,180.00","51,100.00","50,180.00","0.55K","1.62%"
"12-09-2022","50,010.00","49,800.00","50,090.00","49,800.00","0.30K","0.56%"
"09-09-2022","49,730.00","49,520.00","49,750.00","49,450.00","0.30K","0.30%"
"08-09-2022","49,580.00","49,440.00","49,680.00","49,440.00","0.65K","0.49%"
"07-09-2022","49,340.00","49,130.00","49,450.00","49,120.00","0.31K","0.26%"
"06-09-2022","49,210.00","49,210.00","49,400.00","49,100.00","0.71K","0.33%"
"05-09-2022","49,050.00","49,480.00","49,480.00","49,000.00","0.68K","-1.07%"
"02-09-2022","49,580.00","49,070.00","49,600.00","49,020.00","1.04K","0.75%"
"01-09-2022","49,210.00","49,240.00","49,450.00","49,110.00","1.05K","-0.24%"
"30-08-2022","49,330.00","49,370.00","49,550.00","49,090.00","0.97K","-0.62%"
"29-08-2022","49,640.00","50,110.00","50,110.00","49,550.00","1.00K","-1.10%"
"26-08-2022","50,190.00","50,250.00","50,260.00","50,150.00","0.37K","0.00%"
"25-08-2022","50,190.00","50,670.00","50,680.00","49,850.00","1.45K","-1.24%"
"24-08-2022","50,820.00","51,100.00","51,190.00","50,750.00","0.99K","-0.35%"
"23-08-2022","51,000.00","51,160.00","51,160.00","50,840.00","0.75K","-0.80%"
"22-08-2022","51,410.00","52,200.00","52,200.00","51,260.00","0.40K","-2.17%"
"19-08-2022","52,550.00","52,550.00","52,550.00","52,550.00","","-0.30%"
"18-08-2022","52,710.00","52,710.00","52,710.00","52,710.00","","-0.96%"
"17-08-2022","53,220.00","53,220.00","53,220.00","53,220.00","","-0.76%"
"16-08-2022","53,630.00","53,630.00","53,630.00","53,630.00","","0.32%"
"12-08-2022","53,460.00","53,460.00","53,460.00","53,460.00","","1.31%"
"11-08-2022","52,770.00","52,770.00","52,770.00","52,770.00","","0.29%"
"10-08-2022","52,620.00","52,620.00","52,620.00","52,620.00","","1.41%"
"08-08-2022","51,890.00","51,890.00","51,890.00","51,890.00","","-1.37%"
"05-08-2022","52,610.00","52,610.00","52,610.00","52,610.00","","-1.15%"
"04-08-2022","53,220.00","53,220.00","53,220.00","53,220.00","","-0.39%"
"03-08-2022","53,430.00","53,430.00","53,430.00","53,430.00","","2.06%"
"02-08-2022","52,350.00","52,350.00","52,350.00","52,350.00","0.02K","0.38%"
"01-08-2022","52,150.00","52,100.00","52,200.00","52,100.00","0.02K","-1.34%"
"29-07-2022","52,860.00","52,860.00","52,860.00","52,860.00","","0.55%"
"28-07-2022","52,570.00","52,570.00","52,570.00","52,570.00","","0.17%"
"27-07-2022","52,480.00","52,480.00","52,480.00","52,480.00","0.01K","0.38%"
"26-07-2022","52,280.00","52,280.00","52,280.00","52,280.00","","2.59%"
"25-07-2022","50,960.00","50,960.00","50,960.00","50,960.00","","-3.81%"
"22-07-2022","52,980.00","52,980.00","52,980.00","52,980.00","0.01K","4.91%"
"21-07-2022","50,500.00","50,500.00","50,500.00","50,500.00","0.01K","-2.32%"
"20-07-2022","51,700.00","51,700.00","51,700.00","51,700.00","","-0.21%"
"19-07-2022","51,810.00","51,810.00","51,810.00","51,810.00","","-1.35%"
"18-07-2022","52,520.00","52,520.00","52,520.00","52,520.00","","-1.35%"
"15-07-2022","53,240.00","53,240.00","53,240.00","53,240.00","","-0.58%"
"14-07-2022","53,550.00","53,550.00","53,550.00","53,550.00","","0.70%"
"13-07-2022","53,180.00","53,180.00","53,180.00","53,180.00","0.01K","-2.01%"
"12-07-2022","54,270.00","54,270.00","54,270.00","54,270.00","","2.42%"
"11-07-2022","52,990.00","53,180.00","53,180.00","52,800.00","0.02K","4.11%"
"08-07-2022","50,900.00","50,900.00","50,900.00","50,900.00","0.01K","0.10%"
"07-07-2022","50,850.00","50,850.00","50,850.00","50,850.00","0.01K","0.06%"
"06-07-2022","50,820.00","50,820.00","50,820.00","50,820.00","0.01K","0.00%"
"05-07-2022","50,820.00","50,820.00","50,820.00","50,820.00","0.01K","-0.06%"
"04-07-2022","50,850.00","50,850.00","50,850.00","50,850.00","0.01K","1.72%"
"01-07-2022","49,990.00","49,990.00","49,990.00","49,990.00","0.01K","0.10%"
"30-06-2022","49,940.00","49,940.00","49,940.00","49,940.00","0.01K","0.00%"
"29-06-2022","49,940.00","49,940.00","49,940.00","49,940.00","0.01K","0.40%"
"28-06-2022","49,740.00","49,520.00","49,950.00","49,520.00","0.02K","0.48%"
"27-06-2022","49,500.00","49,500.00","49,500.00","49,500.00","0.01K","5.54%"
"24-06-2022","46,900.00","46,800.00","47,000.00","46,800.00","0.02K","0.86%"
"23-06-2022","46,500.00","46,500.00","46,500.00","46,500.00","0.01K","-0.21%"
"22-06-2022","46,600.00","46,600.00","46,600.00","46,600.00","0.01K","-0.85%"
"21-06-2022","47,000.00","47,000.00","47,000.00","47,000.00","0.01K","-3.69%"
"20-06-2022","48,800.00","47,200.00","47,200.00","47,200.00","","-1.47%"
"17-06-2022","49,530.00","49,530.00","49,530.00","49,530.00","","1.43%"
"16-06-2022","48,830.00","48,830.00","48,830.00","48,830.00","","1.01%"
"15-06-2022","48,340.00","48,340.00","48,340.00","48,340.00","","-0.58%"
"14-06-2022","48,620.00","49,440.00","49,440.00","48,200.00","0.03K","-0.61%"
"13-06-2022","48,920.00","47,910.00","49,130.00","47,910.00","0.11K","2.09%"
"10-06-2022","47,920.00","47,900.00","47,940.00","47,900.00","0.05K","0.25%"
"09-06-2022","47,800.00","47,850.00","47,850.00","47,750.00","0.02K","2.14%"
"08-06-2022","46,800.00","46,800.00","46,800.00","46,800.00","0.01K","0.28%"
"07-06-2022","46,670.00","46,400.00","46,930.00","46,400.00","0.02K","-1.12%"
"06-06-2022","47,200.00","47,100.00","47,300.00","47,100.00","0.04K","-0.23%"
"03-06-2022","47,310.00","47,100.00","47,500.00","47,100.00","0.04K","0.87%"
"02-06-2022","46,900.00","46,600.00","47,000.00","46,600.00","0.08K","0.39%"
"01-06-2022","46,720.00","47,050.00","47,050.00","46,300.00","0.09K","-2.67%"
"31-05-2022","48,000.00","48,400.00","48,400.00","47,600.00","0.03K","-1.38%"
"30-05-2022","48,670.00","48,300.00","49,200.00","48,300.00","0.03K","1.91%"
"27-05-2022","47,760.00","47,760.00","47,760.00","47,760.00","0.01K","-0.91%"
"26-05-2022","48,200.00","48,400.00","48,400.00","48,000.00","0.02K","0.73%"
"25-05-2022","47,850.00","48,500.00","48,500.00","46,690.00","0.03K","-1.46%"
"24-05-2022","48,560.00","48,690.00","48,700.00","48,000.00","0.05K","-2.70%"
"23-05-2022","49,910.00","51,000.00","51,000.00","48,410.00","0.06K","-10.88%"
"20-05-2022","56,000.00","56,000.00","56,000.00","56,000.00","0.02K","4.46%"
"19-05-2022","53,610.00","53,610.00","53,610.00","53,610.00","","0.54%"
"18-05-2022","53,320.00","53,320.00","53,320.00","53,320.00","","-0.93%"
"17-05-2022","53,820.00","53,820.00","53,820.00","53,820.00","","4.38%"
"16-05-2022","51,560.00","51,110.00","52,000.00","51,110.00","0.02K","-2.94%"
"13-05-2022","53,120.00","53,600.00","54,500.00","52,300.00","0.07K","-2.50%"
"12-05-2022","54,480.00","54,790.00","54,790.00","54,200.00","0.07K","2.50%"
"11-05-2022","53,150.00","53,600.00","53,600.00","53,000.00","0.06K","-3.70%"
"10-05-2022","55,190.00","56,300.00","56,300.00","54,800.00","0.06K","-2.32%"
"09-05-2022","56,500.00","56,790.00","56,790.00","56,000.00","0.03K","-0.09%"
"06-05-2022","56,550.00","56,300.00","56,800.00","56,100.00","0.08K","0.62%"
"05-05-2022","56,200.00","55,800.00","56,490.00","55,400.00","0.13K","0.66%"
"04-05-2022","55,830.00","56,400.00","56,400.00","55,000.00","0.09K","-2.05%"
"03-05-2022","57,000.00","57,000.00","57,000.00","57,000.00","0.01K","0.96%"
"02-05-2022","56,460.00","56,900.00","56,900.00","56,200.00","0.07K","-2.18%"
"29-04-2022","57,720.00","57,200.00","58,010.00","57,200.00","0.07K","2.11%"
"28-04-2022","56,530.00","56,200.00","56,980.00","56,200.00","0.03K","2.21%"
"27-04-2022","55,310.00","55,000.00","56,010.00","54,700.00","0.10K","-0.09%"
"26-04-2022","55,360.00","55,000.00","56,000.00","55,000.00","0.08K","-1.76%"
"25-04-2022","56,350.00","57,420.00","57,420.00","54,640.00","0.06K","-2.32%"
"22-04-2022","57,690.00","58,450.00","58,450.00","57,200.00","0.04K","-1.42%"
"21-04-2022","58,520.00","58,400.00","58,870.00","58,100.00","0.10K","-5.08%"
"20-04-2022","61,650.00","63,100.00","63,100.00","60,200.00","0.02K","3.16%"
"19-04-2022","59,760.00","59,760.00","59,760.00","59,760.00","","2.95%"
"18-04-2022","58,050.00","58,030.00","58,110.00","57,990.00","0.06K","3.77%"
"14-04-2022","55,940.00","55,940.00","55,940.00","55,940.00","","2.55%"
"13-04-2022","54,550.00","54,700.00","57,000.00","54,000.00","0.17K","0.13%"
"12-04-2022","54,480.00","54,210.00","55,510.00","54,000.00","0.16K","-1.09%"
"11-04-2022","55,080.00","55,890.00","55,890.00","54,600.00","0.17K","-1.40%"
"08-04-2022","55,860.00","56,150.00","56,600.00","55,590.00","0.29K","-0.57%"
"07-04-2022","56,180.00","56,780.00","56,780.00","55,900.00","0.33K","-0.65%"
"06-04-2022","56,550.00","57,630.00","57,630.00","56,000.00","0.09K","-1.52%"
"05-04-2022","57,420.00","57,200.00","58,200.00","57,100.00","0.16K","-0.07%"
"04-04-2022","57,460.00","57,210.00","57,630.00","57,210.00","0.05K","-1.49%"
"01-04-2022","58,330.00","58,650.00","58,740.00","57,720.00","0.05K","0.86%"
"31-03-2022","57,830.00","58,350.00","58,350.00","57,300.00","0.04K","-0.40%"
"30-03-2022","58,060.00","57,400.00","58,750.00","57,200.00","0.07K","0.03%"
"29-03-2022","58,040.00","58,300.00","58,300.00","57,510.00","0.07K","-1.51%"
"28-03-2022","58,930.00","58,600.00","59,110.00","58,600.00","0.04K","0.44%"
"25-03-2022","58,670.00","59,430.00","59,800.00","58,200.00","0.11K","-1.28%"
"24-03-2022","59,430.00","58,700.00","60,090.00","58,700.00","0.08K","-0.13%"
"23-03-2022","59,510.00","60,800.00","60,800.00","59,200.00","0.21K","-1.70%"
"22-03-2022","60,540.00","60,100.00","61,400.00","60,010.00","0.21K","0.80%"
"21-03-2022","60,060.00","60,480.00","60,480.00","59,300.00","0.10K","4.89%"
"18-03-2022","57,260.00","57,260.00","57,260.00","57,260.00","","0.37%"
"17-03-2022","57,050.00","57,050.00","57,050.00","57,050.00","","-0.80%"
"16-03-2022","57,510.00","57,510.00","57,510.00","57,510.00","","-2.85%"
"15-03-2022","59,200.00","59,200.00","59,200.00","59,200.00","0.01K","-1.43%"
"14-03-2022","60,060.00","61,500.00","61,500.00","59,200.00","0.05K","-2.93%"
"11-03-2022","61,870.00","61,800.00","62,000.00","61,750.00","0.11K","2.30%"
"10-03-2022","60,480.00","59,800.00","60,700.00","59,610.00","0.24K","-0.41%"
"09-03-2022","60,730.00","60,400.00","61,390.00","60,050.00","0.15K","2.14%"
"08-03-2022","59,460.00","58,850.00","60,000.00","58,000.00","0.19K","-0.73%"
"07-03-2022","59,900.00","58,000.00","60,600.00","57,470.00","0.41K","5.63%"
"04-03-2022","56,710.00","56,500.00","56,910.00","56,310.00","0.47K","1.09%"
"03-03-2022","56,100.00","54,790.00","56,520.00","54,720.00","0.53K","3.91%"
"02-03-2022","53,990.00","52,600.00","54,050.00","52,600.00","0.54K","1.87%"
"01-03-2022","53,000.00","52,500.00","53,500.00","52,500.00","0.02K","3.50%"
"28-02-2022","51,210.00","50,800.00","51,600.00","50,800.00","0.10K","1.69%"
