"Date","Price","Open","High","Low","Vol.","Change %"
"15-03-2024","42,450.00","41,010.00","42,450.00","40,600.00","","4.25%"
"14-03-2024","40,720.00","41,010.00","41,010.00","40,600.00","0.06K","0.17%"
"13-03-2024","40,650.00","41,370.00","41,370.00","40,600.00","0.29K","-2.77%"
"12-03-2024","41,810.00","41,910.00","41,910.00","41,600.00","0.03K","-0.81%"
"11-03-2024","42,150.00","42,440.00","42,440.00","41,800.00","0.09K","-0.47%"
"07-03-2024","42,350.00","42,180.00","42,450.00","42,150.00","0.08K","-0.28%"
"06-03-2024","42,470.00","42,270.00","42,480.00","42,270.00","0.12K","0.12%"
"05-03-2024","42,420.00","42,700.00","42,740.00","40,630.00","0.08K","-1.44%"
"04-03-2024","43,040.00","45,150.00","45,150.00","42,500.00","0.06K","1.03%"
"01-03-2024","42,600.00","42,670.00","42,670.00","42,560.00","0.04K","-0.40%"
"29-02-2024","42,770.00","42,720.00","42,800.00","42,720.00","0.05K","0.28%"
"28-02-2024","42,650.00","42,700.00","42,700.00","42,580.00","0.10K","-0.07%"
"27-02-2024","42,680.00","42,680.00","42,680.00","42,680.00","0.01K","-0.26%"
"26-02-2024","42,790.00","42,850.00","42,850.00","42,750.00","0.04K","-0.09%"
"23-02-2024","42,830.00","42,700.00","42,870.00","42,700.00","0.07K","0.59%"
"22-02-2024","42,580.00","42,500.00","42,620.00","42,500.00","0.04K","-0.09%"
"21-02-2024","42,620.00","42,650.00","42,710.00","42,550.00","0.06K","-0.88%"
"20-02-2024","43,000.00","42,700.00","42,700.00","42,700.00","","0.68%"
"19-02-2024","42,710.00","42,710.00","42,710.00","42,710.00","","0.87%"
"16-02-2024","42,340.00","42,340.00","42,340.00","42,340.00","","2.59%"
"15-02-2024","41,270.00","41,270.00","41,270.00","41,270.00","0.24K","0.00%"
"14-02-2024","41,270.00","42,150.00","42,150.00","40,510.00","0.20K","-2.64%"
"13-02-2024","42,390.00","42,490.00","42,490.00","42,300.00","0.41K","-0.52%"
